# Mojito CPU-language parity manifest
# schema-version	2
# reference-version	Mojo 1.0.0b3.dev2026071705
# reference-build	nightly-2026-07-17
# reference-date	2026-07-17
# manual-version	1.0.0b2
# manual-root	https://mojolang.org/docs/manual/
# inventory-date	2026-07-17
# nightly-release	https://mojolang.org/releases/nightly/
# nightly-audit	docs/mojo-nightly.md
# coverage	complete at manual-section and practical feature-family granularity
#
# status: implemented, partial, excluded, stretch
# scope: first-pass, excluded, post-native
# relation: match, subset, divergence, representation, excluded, stretch
# evidence: semicolon-separated case:, test:, docs:, or manual: references
id	area	status	scope	relation	mojo_behavior	mojito_behavior	evidence	notes
modules.qualified-import	modules	partial	first-pass	subset	`import module` and aliases create qualified module namespaces while declarations in different modules retain distinct identity.	Aliased and unaliased dotted qualified calls, values, and types resolve to module-qualified internal symbols, isolating same-named declarations and overloads.	test:tests/module_test.rs;docs:docs/features.md;manual:modules	General first-class module values remain outside the flattened architecture.
ownership.conventions	ownership	implemented	first-pass	match	Argument conventions distinguish preferred `imm` (legacy `read`), mut, var, ref, out, and deinit access with access rules based on transfer, copying, and aliasing.	Mojito accepts `imm` and temporary `read` as the same immutable convention; `var`, `mut`, `ref`, `out`, and `deinit` semantics run.	case:imm-convention;case:current-var-convention;case:legacy-owned-convention;case:borrow-aliasing;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:ownership	No known first-pass divergence.
ownership.moves	ownership	implemented	first-pass	match	Ownership transfer, use-after-move prevention, partial moves, and reinitialization are checked.	CFG ownership analysis covers moves, partial moves, branches, loops, calls, and reinitialization.	case:move-transfer;case:use-after-move;test:tests/ownership_test.rs;manual:ownership	
ownership.references	ownership	implemented	first-pass	match	Borrowed references extend owner lifetime and enforce shared-versus-exclusive access.	Persistent field-sensitive CFG loans cover local and cross-call reference paths through last use.	case:reference-return;test:tests/origin_test.rs;test:tests/ownership_test.rs;manual:lifetimes	Safe caller-owned subset.
ownership.origins-advanced	ownership	partial	first-pass	subset	Static, untracked, unsafe, inferred, union, and projected origins describe reference provenance.	Static, untracked, unsafe-any, named, inferred, union, and projected contracts lower into the checked origin algebra; UnsafePointer(to=place) infers concrete place origins, and reference- or pointer-storing aggregates preserve handles and executable owner loans.	case:advanced-origins;case:reference-valued-aggregate;case:pointer-origin-aggregate;case:pointer-origin-escape;case:pointer-loan-conflict;test:tests/origin_test.rs;test:tests/ownership_test.rs;test:tests/vm_test.rs;docs:docs/features.md;manual:lifetimes	Pointer loans enforce reference-style exclusivity, and arithmetic, comparison, and free() on origin-bearing pointers are rejected; type-level origin instantiation and origin-generic pointer calls remain deferred.
ownership.closures	ownership	implemented	first-pass	match	Closures use explicit capture lists and cannot outlive their defining scope.	Unified imm/read, mut, moved, and default captures lower to frame/slot environments; sibling forwarding, recursion, generics, closure values, and persistent mutation run, while undeclared capture and escape are rejected.	case:unified-capture-lists;case:non-escaping-closures;test:tests/checker_test.rs;test:tests/evaluator_test.rs;test:tests/vm_test.rs;docs:docs/features.md;manual:closures	Escaping closures are intentionally rejected.
lifecycle.initialization	lifecycle	implemented	first-pass	match	Initializers, named results, and definite initialization establish every field before normal return.	Fieldwise and handwritten construction, named results, raising initializers, and branch/exception-sensitive out-self definite initialization run.	case:lifecycle-initialization;test:tests/checker_test.rs;test:tests/vm_test.rs;manual:initialization;manual:value-creation	No known first-pass divergence.
lifecycle.copy-move	lifecycle	implemented	first-pass	match	Unified `__init__(..., copy=)` and `__init__(..., move=)` methods control explicit copying and transfer.	Both unified initializer shapes drive copyability, move behavior, and value semantics through normalized lifecycle symbols.	case:unified-lifecycle;case:struct-copy-semantics;case:move-transfer;test:tests/evaluator_test.rs;test:tests/ownership_test.rs;manual:value-creation	Legacy initializer spellings are still accepted as a compatibility extension pending source migration.
lifecycle.destruction	lifecycle	implemented	first-pass	match	ImplicitlyDeletable conformance controls automatic deletion; conditional nonconformance makes a value linear, while @explicit_destroy only adds a required diagnostic message.	Mojito derives linearity from explicitly unavailable ImplicitlyDeletable conformance and enforces path- and field-sensitive obligations, projected destruction, reconstruction, CFG joins, and raising fallback paths.	case:explicit-destroy;case:raising-explicit-destroy;test:tests/checker_test.rs;test:tests/drops_test.rs;test:tests/assets_test.rs;docs:docs/features.md;manual:value-destruction	No known first-pass divergence.
metaprogramming.constants	metaprogramming	implemented	first-pass	match	`comptime` bindings evaluate compile-time values usable by specialization.	Compile-time Int/type facts and materialized constants run.	case:compile-time-constant;test:tests/comptime_test.rs;manual:comptime	Value shapes are narrower.
metaprogramming.control	metaprogramming	implemented	first-pass	match	`comptime if` selects branches and `comptime for` unrolls compile-time iterables.	Both forms elaborate before checking with fuel and unroll limits.	case:compile-time-if;test:tests/comptime_test.rs;manual:comptime	Supported compile-time value shapes are narrower.
metaprogramming.parameters	metaprogramming	implemented	first-pass	match	Parameters accept types, values, origins, dependent expressions, and variadic packs.	Typed scalar/aggregate values, type/value defaults, positional/named/inferred/infer-only binding, dependent defaults, and heterogeneous packs run; origins remain semantic-only.	case:compile-time-parameters;test:tests/checker_test.rs;test:tests/comptime_test.rs;manual:parameterization	No known first-pass divergence.
traits.requirements	traits	implemented	first-pass	match	Traits declare required methods and compile-time members; structs declare nominal conformance.	Required methods, receiver conventions, nominal conformance, and associated facts run.	case:trait-requirement;test:tests/checker_test.rs;manual:traits	
traits.refinement-defaults	traits	implemented	first-pass	representation	Traits refine other traits and may supply inherited default implementations.	Refined requirements and capabilities are inherited; default bodies are statically materialized into conforming structs, with explicit struct methods overriding defaults and ambiguity rejected.	test:tests/checker_test.rs;test:tests/evaluator_test.rs;docs:docs/features.md;manual:traits	Static materialization avoids runtime trait-object dispatch.
traits.associated-types	traits	implemented	first-pass	match	Traits expose associated types and values used by generic code.	Associated compile-time type/value facts compose bounds across refined traits, preserve one associated identity, and diagnose kind/type conflicts.	case:core-protocols;test:tests/checker_test.rs;manual:traits	No known first-pass divergence.
traits.conditional-conformance	traits	implemented	first-pass	match	Parameterized structs may conform conditionally based on parameter capabilities.	Per-conformance `where` predicates support `conforms_to`, boolean composition, and typed value comparisons after specialization; the same constraint algebra serves declarations and methods.	case:core-protocols;test:tests/checker_test.rs;manual:generics	No known first-pass divergence.
generics.specialization	generics	implemented	first-pass	representation	Generic functions, methods, and structs specialize for concrete type/value arguments.	Type parameters erase in runtime MIR; typed values and packs participate in structural identity; dependent defaults, recursive requests, deduplication, shared fuel, and source-located quota failures run.	test:tests/checker_test.rs;test:tests/comptime_test.rs;manual:generics	The VM erases runtime type arguments after static specialization.
generics.constraints	generics	implemented	first-pass	match	Constraints use trailing where clauses; parameter-list where was removed. Type equality uses ==/!= and conforms_to accepts variadic type-list operands.	Mojito rejects the removed placement and solves trailing boolean/value/type predicates, scalar and pack-wide conforms_to, conditional methods, and conditional conformance.	case:parameter-list-where-removed;test:tests/parser_test.rs;test:tests/checker_test.rs;test:tests/comptime_test.rs;manual:constraints	No known first-pass divergence.
metaprogramming.materialization	metaprogramming	implemented	first-pass	representation	Compile-time values materialize into runtime values under defined conversions.	Int, UInt, Float64, Bool, String, tuple, and list values materialize recursively; type, symbolic-parameter, origin, and reflection handles erase before checking.	test:tests/comptime_test.rs;test:tests/evaluator_test.rs;manual:materialization	Compile-time-only facts are erased rather than represented by runtime VM values.
metaprogramming.reflection	metaprogramming	implemented	first-pass	match	Reflection exposes chainable reflect[T].field[name] and field_at[index] handles whose type is available as .T.	Mojito returns zero-sized reflected handles from named and indexed selection, composes selection across nested structs, substitutes generic field types, and rejects the removed field_type spelling.	case:reflected-field-handles;case:legacy-reflected-field-type;test:tests/comptime_test.rs;manual:reflection	ABI byte offsets remain native-backend facts rather than VM reflection values.
pointers.unsafe	pointers	implemented	first-pass	representation	UnsafePointer supports typed allocation, load/store, arithmetic, provenance, alignment, and explicit deallocation.	The VM uses stable allocation identities and element offsets, bounds each allocation, supports aligned allocation, arithmetic, subtraction/equality, dangling placeholders, and real invalidating deallocation; place-origin pointers execute as frame/slot handles whose static loans are erased only by the VM value representation.	case:pointer-provenance;test:tests/evaluator_test.rs;test:tests/vm_test.rs;manual:pointers;manual:unsafe-pointers	The VM diagnoses unsafe memory violations deterministically instead of permitting host undefined behavior.
values.simd	values	partial	first-pass	representation	SIMD values expose vector lane semantics and lower to CPU vector operations where available.	The VM emulates typed lanes serially with SIMDSize compile-time widths, `_` construction inference, access, mutation, splats, arithmetic, and comparison.	test:tests/checker_test.rs;test:tests/vm_test.rs;docs:docs/features.md;manual:types	Semantic subset is intended to match; there is no hardware vector lowering.
protocols.indexing	protocols	implemented	first-pass	representation	Indexer converts index values through `__mlir_index__`; collection access uses concrete indexing APIs.	Int and user Indexer values normalize for VM collection/pointer indexing, while concrete and opaque-bound `__getitem__`/`__setitem__` dispatch remains available.	case:core-protocols;test:tests/checker_test.rs;test:tests/evaluator_test.rs;manual:traits	The VM represents the compiler's MLIR index result as Int.
protocols.formatting	protocols	implemented	first-pass	representation	`print`, String conversion, repr, and text formatting use Writable and Writer; deprecated Stringable/Representable are not protocol targets.	Writable reflective defaults and display/repr overrides stream heterogeneous values through Writer; String fields support manual/automatic selection, repr, escaping, alignment, width, and float precision.	case:core-protocols;case:print-without-writable;case:boolean-formatting;test:tests/evaluator_test.rs;docs:grammar.md;docs:docs/features.md;manual:types	The VM models StringSlice writes with validated String values and implements a focused format-spec subset.
protocols.hashing	protocols	implemented	first-pass	representation	Hashable and Hasher protocols support deterministic and incremental hashing contracts.	Hashable contributes to a caller-provided existential Hasher; update accepts checked Hashable values, reflective defaults hash fields, and bundled IncrementalHasher exposes initialization, update, and finish.	case:core-protocols;test:tests/self_host_test.rs;test:tests/evaluator_test.rs;manual:traits	The target-independent VM represents the standard UInt64 result with its word-sized UInt.
layouts.layout-types	layouts	partial	first-pass	subset	Layout and LayoutTensor describe CPU/GPU memory layouts and layout-aware access.	No general layout type or LayoutTensor semantics.	docs:roadmap.md;manual:layouts	GPU-specific portions are excluded; CPU layout semantics remain first-pass work.
execution.gpu	execution	excluded	excluded	excluded	GPU kernels, memory spaces, synchronization, and TileTensor execute on accelerators.	GPU execution is intentionally outside first-pass parity.	docs:roadmap.md;manual:gpu;manual:tiletensor	
execution.concurrent	execution	excluded	excluded	excluded	The language and libraries expose concurrency, parallelism, atomics, tasks, and distributed execution.	Concurrency, parallelism, atomics, tasks, and distributed execution are intentionally excluded.	docs:roadmap.md	
interop.python	interop	excluded	excluded	excluded	Mojo imports Python, exposes Mojo to Python, and converts Python object types.	Python interoperability is not a Mojito goal.	docs:roadmap.md;manual:python-interop	
tools.compilation-targets	tooling	partial	first-pass	subset	Mojo builds and runs native artifacts for configured compilation targets.	Mojito runs checked MIR in a register VM and has no native artifact backend yet.	docs:docs/features.md;manual:tools	Cranelift and LLVM are ordered roadmap work.
tools.feature-toggles	tooling	partial	first-pass	subset	Compiler feature toggles select experimental language capabilities.	No compatible feature-toggle system.	manual:tools;docs:roadmap.md	
tools.debugging	tooling	partial	first-pass	subset	Mojo provides source debugging and diagnostic tooling.	Mojito provides staged CLI diagnostics but no source debugger.	docs:README.md;manual:tools	
tools.testing	tooling	partial	first-pass	subset	Mojo includes language-aware test tooling and standard test APIs.	Mojito has Rust and fixture conformance tests but no self-hosted testing package.	test:tests/assets_test.rs;manual:tools	
tools.packaging	tooling	partial	first-pass	subset	Mojo packages and module artifacts support distribution and dependency workflows.	Mojito links source modules from search roots; package artifacts and dependency metadata are open.	test:tests/module_test.rs;manual:tools	
backend.textual-mir	backend	partial	first-pass	subset	Mojo has compiler-owned IR tooling; its internal format is not Mojito's contract.	A stable Mojito-owned textual MIR/VM assembly format is planned but absent.	docs:roadmap.md	Required before native backends.
backend.cranelift	backend	partial	post-native	subset	Mojo emits optimized native CPU code through its compiler stack.	Cranelift is the planned first Mojito native CPU backend.	docs:roadmap.md	
backend.llvm	backend	partial	post-native	subset	Mojo emits optimized native CPU code through its compiler stack.	LLVM is the planned second Mojito native CPU backend.	docs:roadmap.md	
backend.ebpf	backend	stretch	post-native	stretch	No core Mojo parity requirement.	Optional Mojito backend investigation after native CPU backends.	docs:roadmap.md	
backend.mlir	backend	stretch	post-native	stretch	Mojo is implemented on MLIR.	MLIR is an optional stretch backend and not a required Mojito layer.	docs:roadmap.md;manual:manual-root	
